# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
3.6395e+11 5.2136e+10 3.7053e+10 2.1697e+01 3.7530e+08 2.9697e+06 7.8195e-01
2.0014e+11 4.4172e+09 9.0636e+09 1.1177e+01 8.6791e+08 1.4251e+07 1.2471e+00
7.6239e+10 1.3749e+10 1.3620e+10 1.8225e+01 1.1082e+09 2.6013e+07 8.0248e-01
1.3398e+11 5.1116e+09 4.2428e+09 3.0854e+00 8.7296e+08 2.3151e+06 7.1456e-01
1.2469e+11 5.4212e+09 9.6757e+09 7.2179e+00 3.5238e+08 6.8476e+06 1.6914e+00
1.4403e+11 5.9468e+08 3.8392e+08 3.4101e-02 2.7771e+09 9.1045e+04 9.1409e-01
5.4418e+10 9.3957e+09 6.9751e+09 5.4567e+00 7.1988e+08 1.4823e+07 1.0459e+00
6.4003e+10 6.1013e+09 3.3956e+09 1.0425e+00 1.0355e+09 3.9727e+06 6.8775e-01
5.8576e+10 2.6389e+07 6.2063e+06 0.0000e+00 8.0573e+09 2.2878e+02 4.7306e-01
7.8722e+10 1.9347e+09 8.3575e+09 1.1838e+01 8.1907e+08 7.6465e+07 2.8314e+00
5.6583e+10 1.8208e+09 8.6298e+09 1.4777e+01 3.5154e+08 6.9031e+07 2.3244e+00
5.1372e+10 2.7121e+09 1.2449e+09 6.3390e-01 5.8579e+09 1.2756e+06 5.3356e-01
5.6135e+10 6.3890e+08 2.3093e+09 3.0633e+00 1.0953e+09 2.3276e+07 2.3094e+00
7.0623e+10 5.0707e+08 3.3694e+08 1.7713e-01 2.1263e+09 1.1208e+05 5.9336e-01
6.2369e+10 1.9466e+08 2.4496e+09 7.6709e+00 9.2042e+08 1.1716e+08 4.5212e+00
5.7845e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.2772e+09 nan nan
5.1925e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.0648e+10 nan nan
8.2093e+09 1.4783e+09 1.7571e+09 1.7233e+00 6.6996e+07 1.9248e+07 1.4687e+00
1.5287e+10 2.1909e+09 2.8755e+09 7.9299e+00 2.2566e+09 1.8620e+08 1.2499e+00
9.5413e+09 5.0961e+08 1.2042e+09 1.5224e+00 4.4917e+08 5.4859e+07 1.5713e+00
1.9326e+10 4.6034e+08 2.3900e+09 5.9681e+00 4.4794e+08 2.8477e+08 2.3851e+00
2.7010e+10 3.1857e+08 1.2538e+09 1.3775e+00 7.0565e+08 3.9544e+07 3.2046e+00
2.9417e+10 3.5237e+08 2.2370e+08 1.2177e-01 5.1553e+09 2.7014e+04 6.6020e-01
3.0474e+10 0.0000e+00 0.0000e+00 0.0000e+00 4.2384e+09 nan nan
3.7313e+10 0.0000e+00 0.0000e+00 0.0000e+00 4.6075e+09 nan nan
1.7633e+10 8.8471e+07 5.2245e+08 6.9580e-01 1.9194e+09 8.0126e+07 2.5631e+00
9.3291e+09 1.6275e+09 2.4294e+09 5.3491e+00 6.7032e+08 1.6338e+08 1.1290e+00
2.4627e+10 7.3236e+08 2.9494e+09 5.0029e+00 9.2391e+08 1.4209e+08 3.0415e+00
1.4985e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.1584e+09 nan nan
2.2806e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.8006e+09 nan nan
8.6161e+09 3.0367e+07 2.0894e+08 2.6927e-01 4.3602e+08 4.8603e+07 3.7132e+00
1.4027e+10 0.0000e+00 0.0000e+00 0.0000e+00 7.8548e+08 nan nan
9.8201e+09 5.4113e+07 3.4500e+08 3.9838e-01 1.5994e+08 5.0771e+07 4.0614e+00
1.6679e+10 2.1990e+07 9.0952e+07 1.0521e-01 5.5192e+08 1.4802e+07 3.0735e+00
2.4011e+09 3.9996e+08 3.9225e+08 5.1286e-01 2.1234e+08 7.5838e+07 1.3931e+00
1.1525e+10 3.9155e+08 9.9566e+08 1.8512e+00 5.0642e+08 1.5635e+08 2.6642e+00
5.2633e+09 3.1677e+08 3.1729e+08 4.9029e-01 4.5600e+08 4.8573e+07 1.1312e+00
1.7100e+09 9.6401e+08 4.7943e+08 5.9738e-01 5.5994e+07 4.5829e+06 7.8893e-01
1.7345e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.6481e+09 nan nan
4.1948e+09 2.6735e+08 4.7358e+08 5.4291e-01 1.1818e+08 3.5738e+07 2.1180e+00
1.6114e+10 2.1202e+08 1.0937e+09 2.3602e+00 9.7173e+08 1.9244e+08 3.4861e+00
